"","FORM_TYPE","DATE_FILED","CIK","COMPANY_NAME","CIK_FILER","FILER","INDEX_URL","EDGAR_LINK"
"337","SC 13G","2012-01-03","0001024022","MEDIA SCIENCES INTERNATIONAL INC ","0001496173","Ana Partners LP ","https://www.sec.gov/Archives/edgar/data/1024022/0000950142-12-000006-index.htm","https://www.sec.gov/Archives/edgar/data/1024022/0000950142-12-000006.txt"
"875","SC 13G","2012-01-03","0000700721","AMERICAN MEDICAL ALERT CORP ","0001036183","YAKIRA PARTNERS L P ","https://www.sec.gov/Archives/edgar/data/1036183/0001398344-12-000002-index.htm","https://www.sec.gov/Archives/edgar/data/1036183/0001398344-12-000002.txt"
"3513","SC 13G","2012-01-03","0000851726","Santa Fe Gold CORP ","0001422076","Sulane Holdings Ltd ","https://www.sec.gov/Archives/edgar/data/1422076/0001062993-12-000004-index.htm","https://www.sec.gov/Archives/edgar/data/1422076/0001062993-12-000004.txt"
"3935","SC 13G","2012-01-03","0001506932","Lone Pine Resources Inc ","0001514334","MSDC Management L P ","https://www.sec.gov/Archives/edgar/data/1506932/0001193125-12-000996-index.htm","https://www.sec.gov/Archives/edgar/data/1506932/0001193125-12-000996.txt"
"3999","SC 13G","2012-01-03","0001512162","COOPER CREEK PARTNERS MANAGEMENT LLC ","0001512162","COOPER CREEK PARTNERS MANAGEMENT LLC ","https://www.sec.gov/Archives/edgar/data/1512162/0001512162-12-000002-index.htm","https://www.sec.gov/Archives/edgar/data/1512162/0001512162-12-000002.txt"
"132","SC 13G","2012-01-04","0000315213","HALF ROBERT INTERNATIONAL INC DE ","0001009262","LATEEF INVESTMENT MANAGEMENT L P ","https://www.sec.gov/Archives/edgar/data/1009262/0001009262-12-000001-index.htm","https://www.sec.gov/Archives/edgar/data/1009262/0001009262-12-000001.txt"
"1464","SC 13G","2012-01-04","0001091907","WORLD WRESTLING ENTERTAINMENTINC ","0001180421","MCMAHON SHANE ","https://www.sec.gov/Archives/edgar/data/1091907/0000898432-12-000005-index.htm","https://www.sec.gov/Archives/edgar/data/1091907/0000898432-12-000005.txt"
"1480","SC 13G","2012-01-04","0000936711","CROSSROADS SYSTEMS INC ","0001093207","STROME INVESTMENT MANAGEMENT LP ","https://www.sec.gov/Archives/edgar/data/1093207/0001144204-12-000452-index.htm","https://www.sec.gov/Archives/edgar/data/1093207/0001144204-12-000452.txt"
"3215","SC 13G","2012-01-04","0001372183","Next 1 Interactive Inc ","0001533124","Tonaquint Inc ","https://www.sec.gov/Archives/edgar/data/1372183/0001364560-12-000007-index.htm","https://www.sec.gov/Archives/edgar/data/1372183/0001364560-12-000007.txt"
"3644","SC 13G","2012-01-04","0000932781","FIRST COMMUNITY CORP SC ","0001452069","Sagus Financial Fund L P ","https://www.sec.gov/Archives/edgar/data/1452069/0001193125-12-001657-index.htm","https://www.sec.gov/Archives/edgar/data/1452069/0001193125-12-001657.txt"
"4673","SC 13G","2012-01-04","0000821002","G III APPAREL GROUP LTD DE ","0000906304","ROYCE ASSOCIATES LLC ","https://www.sec.gov/Archives/edgar/data/821002/0000906304-12-000010-index.htm","https://www.sec.gov/Archives/edgar/data/821002/0000906304-12-000010.txt"
"4788","SC 13G","2012-01-04","0000898286","iSHARES INC ","0000930667","CAISSE DE DEPOT ET PLACEMENT DU QUEBEC ","https://www.sec.gov/Archives/edgar/data/898286/0000898286-12-000002-index.htm","https://www.sec.gov/Archives/edgar/data/898286/0000898286-12-000002.txt"
"930","SC 13G","2012-01-05","0001040747","PostRock Energy Corp ","0001473061","MEAD ROBERT E ","https://www.sec.gov/Archives/edgar/data/1040747/0001193125-12-003357-index.htm","https://www.sec.gov/Archives/edgar/data/1040747/0001193125-12-003357.txt"
"1245","SC 13G","2012-01-05","0000906304","ALBANY MOLECULAR RESEARCH INC ","0001065087","ROYCE ASSOCIATES LLC ","https://www.sec.gov/Archives/edgar/data/1065087/0000906304-12-000020-index.htm","https://www.sec.gov/Archives/edgar/data/1065087/0000906304-12-000020.txt"
"1344","SC 13G","2012-01-05","0000869178","AuRico Gold Inc ","0001078217","VAN ECK ASSOCIATES CORP ","https://www.sec.gov/Archives/edgar/data/1078217/0000869178-12-000002-index.htm","https://www.sec.gov/Archives/edgar/data/1078217/0000869178-12-000002.txt"
"2719","SC 13G","2012-01-05","0001317724","Pacific Airport Group ","0001347557","Mondrian Investment Partners LTD ","https://www.sec.gov/Archives/edgar/data/1317724/0001208646-12-000007-index.htm","https://www.sec.gov/Archives/edgar/data/1317724/0001208646-12-000007.txt"
"3715","SC 13G","2012-01-05","0001468091","VimpelCom Ltd ","0001538565","BERTOFAN INVESTMENTS Ltd ","https://www.sec.gov/Archives/edgar/data/1468091/0001144204-12-000709-index.htm","https://www.sec.gov/Archives/edgar/data/1468091/0001144204-12-000709.txt"
"3796","SC 13G","2012-01-05","0000854800","LAPIS TECHNOLOGIES INC ","0001486763","UTA Capital LLC ","https://www.sec.gov/Archives/edgar/data/1486763/0001193125-12-003278-index.htm","https://www.sec.gov/Archives/edgar/data/1486763/0001193125-12-003278.txt"
"3926","SC 13G","2012-01-05","0000731245","PRESIDENTIAL REALTY CORP DE ","0001506007","Singley Capital Management Inc ","https://www.sec.gov/Archives/edgar/data/1506007/0001506007-12-000001-index.htm","https://www.sec.gov/Archives/edgar/data/1506007/0001506007-12-000001.txt"
"4097","SC 13G","2012-01-05","0000829323","INUVO INC ","0001538747","Loewen Ondaatje McCutcheon Ltd ","https://www.sec.gov/Archives/edgar/data/1538747/0000922423-12-000006-index.htm","https://www.sec.gov/Archives/edgar/data/1538747/0000922423-12-000006.txt"
"980","SC 13G","2012-01-06","0000928549","COMPTON PETROLEUM CORP ","0001043572","DAVIDSON KEMPNER PARTNERS ","https://www.sec.gov/Archives/edgar/data/1043572/0000902664-12-000007-index.htm","https://www.sec.gov/Archives/edgar/data/1043572/0000902664-12-000007.txt"
"1321","SC 13G","2012-01-06","0000895421","NUVEEN CALIFORNIA DIVIDEND ADVANTAGE MUNICIPAL FUND ","0001074952","MORGAN STANLEY ","https://www.sec.gov/Archives/edgar/data/1074952/0000895421-12-000002-index.htm","https://www.sec.gov/Archives/edgar/data/1074952/0000895421-12-000002.txt"
"1994","SC 13G","2012-01-06","0001162324","URANERZ ENERGY CORP ","0001515937","DISBROW ROBERT ","https://www.sec.gov/Archives/edgar/data/1162324/0000912282-12-000018-index.htm","https://www.sec.gov/Archives/edgar/data/1162324/0000912282-12-000018.txt"
"2050","SC 13G","2012-01-06","0000822370","CNS RESPONSE INC ","0001167365","HIGHLAND CAPITAL MANAGEMENT LP ","https://www.sec.gov/Archives/edgar/data/1167365/0001144204-12-001059-index.htm","https://www.sec.gov/Archives/edgar/data/1167365/0001144204-12-001059.txt"
"2137","SC 13G","2012-01-06","0001173557","LMP REAL ESTATE INCOME FUND INC ","0001184765","FIRST TRUST PORTFOLIOS LP ","https://www.sec.gov/Archives/edgar/data/1173557/0001445546-12-000057-index.htm","https://www.sec.gov/Archives/edgar/data/1173557/0001445546-12-000057.txt"
"2214","SC 13G","2012-01-06","0001184765","Virtus Total Return Fund ","0001310445","FIRST TRUST PORTFOLIOS LP ","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000046-index.htm","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000046.txt"
"2215","SC 13G","2012-01-06","0001184765","Kayne Anderson Energy Total Return Fund Inc ","0001322652","FIRST TRUST PORTFOLIOS LP ","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000051-index.htm","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000051.txt"
"2216","SC 13G","2012-01-06","0001184765","NEUBERGER BERMAN REAL ESTATE SECURITIES INCOME FUND INC ","0001261166","FIRST TRUST PORTFOLIOS LP ","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000055-index.htm","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000055.txt"
"2566","SC 13G","2012-01-06","0000319016","GOLF ROUNDS COM INC ","0001286530","BAULCH T ","https://www.sec.gov/Archives/edgar/data/1286530/0001140361-12-001406-index.htm","https://www.sec.gov/Archives/edgar/data/1286530/0001140361-12-001406.txt"
"2907","SC 13G","2012-01-06","0001353312","SodaStream International Ltd ","0001502916","TREMBLANT CAPITAL GROUP ","https://www.sec.gov/Archives/edgar/data/1353312/0000919574-12-000051-index.htm","https://www.sec.gov/Archives/edgar/data/1353312/0000919574-12-000051.txt"
"3268","SC 13G","2012-01-06","0001380393","SeaCube Container Leasing Ltd ","0001487999","Fortress Investment Group LLC ","https://www.sec.gov/Archives/edgar/data/1380393/0001341004-12-000026-index.htm","https://www.sec.gov/Archives/edgar/data/1380393/0001341004-12-000026.txt"
"3277","SC 13G","2012-01-06","0000355777","LOJACK CORP ","0001381954","Tieton Capital Management LLC ","https://www.sec.gov/Archives/edgar/data/1381954/0001381954-12-000007-index.htm","https://www.sec.gov/Archives/edgar/data/1381954/0001381954-12-000007.txt"
"3385","SC 13G","2012-01-06","0000941685","IMAGEWARE SYSTEMS INC ","0001395453","Revelation Special Situations Fund Ltd ","https://www.sec.gov/Archives/edgar/data/1395453/0000902664-12-000009-index.htm","https://www.sec.gov/Archives/edgar/data/1395453/0000902664-12-000009.txt"
"3602","SC 13G","2012-01-06","0000895421","ZYNGA INC ","0001439404","MORGAN STANLEY ","https://www.sec.gov/Archives/edgar/data/1439404/0000895421-12-000006-index.htm","https://www.sec.gov/Archives/edgar/data/1439404/0000895421-12-000006.txt"
"3650","SC 13G","2012-01-06","0000880984","ACORN ENERGY INC ","0001454027","Verition Fund Management LLC ","https://www.sec.gov/Archives/edgar/data/1454027/0001454027-12-000001-index.htm","https://www.sec.gov/Archives/edgar/data/1454027/0001454027-12-000001.txt"
"3875","SC 13G","2012-01-06","0001496147","ChinaCache International Holdings Ltd ","0001498576","Wolf Fund Management Ltd ","https://www.sec.gov/Archives/edgar/data/1496147/0000919574-12-000060-index.htm","https://www.sec.gov/Archives/edgar/data/1496147/0000919574-12-000060.txt"
"4451","SC 13G","2012-01-06","0000006845","APOGEE ENTERPRISES INC ","0000906304","ROYCE ASSOCIATES LLC ","https://www.sec.gov/Archives/edgar/data/6845/0000906304-12-000029-index.htm","https://www.sec.gov/Archives/edgar/data/6845/0000906304-12-000029.txt"
"4689","SC 13G","2012-01-06","0000836429","SYNERGETICS USA INC ","0000884306","KOPP INVESTMENT ADVISORS LLC ","https://www.sec.gov/Archives/edgar/data/836429/0000892712-12-000010-index.htm","https://www.sec.gov/Archives/edgar/data/836429/0000892712-12-000010.txt"
"151","SC 13G","2012-01-09","0001010643","CEPHEID ","0001037760","ARTISAN PARTNERS HOLDINGS LP ","https://www.sec.gov/Archives/edgar/data/1010643/0001193125-12-005874-index.htm","https://www.sec.gov/Archives/edgar/data/1010643/0001193125-12-005874.txt"
"366","SC 13G","2012-01-09","0000102909","Cogdell Spencer Inc ","0001332896","VANGUARD GROUP INC ","https://www.sec.gov/Archives/edgar/data/102909/0000932471-12-000018-index.htm","https://www.sec.gov/Archives/edgar/data/102909/0000932471-12-000018.txt"
"367","SC 13G","2012-01-09","0000102909","Summit Hotel Properties Inc ","0001497645","VANGUARD GROUP INC ","https://www.sec.gov/Archives/edgar/data/102909/0000932471-12-000019-index.htm","https://www.sec.gov/Archives/edgar/data/102909/0000932471-12-000019.txt"
"800","SC 13G","2012-01-09","0001029145","KNIGHTSBRIDGE TANKERS LTD ","0001184765","FIRST TRUST PORTFOLIOS LP ","https://www.sec.gov/Archives/edgar/data/1029145/0001445546-12-000088-index.htm","https://www.sec.gov/Archives/edgar/data/1029145/0001445546-12-000088.txt"
"956","SC 13G","2012-01-09","0000906304","CHILDRENS PLACE RETAIL STORES INC ","0001041859","ROYCE ASSOCIATES LLC ","https://www.sec.gov/Archives/edgar/data/1041859/0000906304-12-000061-index.htm","https://www.sec.gov/Archives/edgar/data/1041859/0000906304-12-000061.txt"
"1474","SC 13G","2012-01-09","0001092839","DUNE ENERGY INC ","0001308315","Highbridge International LLC ","https://www.sec.gov/Archives/edgar/data/1092839/0000902664-12-000013-index.htm","https://www.sec.gov/Archives/edgar/data/1092839/0000902664-12-000013.txt"
"1553","SC 13G","2012-01-09","0001100663","iSHARES TRUST ","0001275431","CURIAN CAPITAL LLC ","https://www.sec.gov/Archives/edgar/data/1100663/0001193125-12-006245-index.htm","https://www.sec.gov/Archives/edgar/data/1100663/0001193125-12-006245.txt"
"1681","SC 13G","2012-01-09","0000890491","BARNES NOBLE INC ","0001111794","TISCH DANIEL R ","https://www.sec.gov/Archives/edgar/data/1111794/0001140361-12-001613-index.htm","https://www.sec.gov/Archives/edgar/data/1111794/0001140361-12-001613.txt"
"2052","SC 13G","2012-01-09","0001167419","AspenBio Pharma Inc ","0001535610","SABBY MANAGEMENT LLC ","https://www.sec.gov/Archives/edgar/data/1167419/0000919574-12-000069-index.htm","https://www.sec.gov/Archives/edgar/data/1167419/0000919574-12-000069.txt"
"2159","SC 13G","2012-01-09","0000812701","CALGON CARBON CORPORATION ","0001177244","SHAPIRO CAPITAL MANAGEMENT CO INC ","https://www.sec.gov/Archives/edgar/data/1177244/0000909012-12-000014-index.htm","https://www.sec.gov/Archives/edgar/data/1177244/0000909012-12-000014.txt"
"2217","SC 13G","2012-01-09","0001184765","NUVEEN INSURED CALIFORNIA TAX FREE ADVANTAGE MUNICIPAL FUND ","0001195738","FIRST TRUST PORTFOLIOS LP ","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000082-index.htm","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000082.txt"
"2218","SC 13G","2012-01-09","0001184765","NUVEEN NEW YORK AMT FREE MUNICIPAL INCOME FUND ","0001195739","FIRST TRUST PORTFOLIOS LP ","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000086-index.htm","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000086.txt"
"2219","SC 13G","2012-01-09","0000099197","TRANSAMERICA INCOME SHARES INC ","0001184765","FIRST TRUST PORTFOLIOS LP ","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000087-index.htm","https://www.sec.gov/Archives/edgar/data/1184765/0001445546-12-000087.txt"
"2332","SC 13G","2012-01-09","0000012208","BIO RAD LABORATORIES INC ","0000906304","ROYCE ASSOCIATES LLC ","https://www.sec.gov/Archives/edgar/data/12208/0000906304-12-000041-index.htm","https://www.sec.gov/Archives/edgar/data/12208/0000906304-12-000041.txt"
"2680","SC 13G","2012-01-09","0001309082","LUCAS ENERGY INC ","0001316981","Hall Phoenix Inwood Ltd ","https://www.sec.gov/Archives/edgar/data/1309082/0001193125-12-006667-index.htm","https://www.sec.gov/Archives/edgar/data/1309082/0001193125-12-006667.txt"
"2796","SC 13G","2012-01-09","0000314808","HERCULES OFFSHORE INC ","0001330849","Ensco plc ","https://www.sec.gov/Archives/edgar/data/1330849/0001193125-12-005609-index.htm","https://www.sec.gov/Archives/edgar/data/1330849/0001193125-12-005609.txt"
"2860","SC 13G","2012-01-09","0000885988","INTEGRAMED AMERICA INC ","0001342637","DIAMONDBACK CAPITAL MANAGEMENT LLC ","https://www.sec.gov/Archives/edgar/data/1342637/0001193125-12-006628-index.htm","https://www.sec.gov/Archives/edgar/data/1342637/0001193125-12-006628.txt"
